host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-26T12:53:51.402,18357,-36,1,38.197,0.0,4.0,0.0,38.197,107.4,0.0,155.0,START,38.197,0.0,4.0,0.0,38.197,121.8,0.0,155.0,START
2026-08-26T12:53:51.501,18457,-38,1,38.197,6.667,4.0,0.698,31.531,107.4,0.0,155.0,START,38.197,1.667,4.0,0.175,36.531,121.8,0.0,155.0,START
2026-08-26T12:53:51.602,18557,-38,1,38.197,6.667,4.0,0.698,31.531,107.4,15.8,123.1,RUN,38.197,6.667,4.0,0.698,31.531,121.8,15.8,137.6,RUN
2026-08-26T12:53:51.700,18657,-37,1,38.197,6.667,4.0,0.698,31.531,107.4,16.4,123.8,RUN,38.197,13.333,4.0,1.396,24.864,121.8,13.1,134.9,RUN
2026-08-26T12:53:51.804,18757,-41,1,38.197,8.333,4.0,0.873,29.864,107.4,16.2,123.6,RUN,38.197,18.333,4.0,1.92,19.864,121.8,11.1,132.9,RUN
2026-08-26T12:53:51.903,18857,-42,1,38.197,8.333,4.0,0.873,29.864,107.4,16.8,124.2,RUN,38.197,25.0,4.0,2.618,13.197,121.8,8.1,129.9,RUN
2026-08-26T12:53:52.015,18957,-43,1,38.197,15.0,4.0,1.571,23.197,107.4,14.1,121.4,RUN,38.197,28.333,4.0,2.967,9.864,121.8,6.7,128.5,RUN
2026-08-26T12:53:52.098,19057,-41,1,38.197,15.0,4.0,1.571,23.197,107.4,14.5,121.9,RUN,38.197,30.0,4.0,3.142,8.197,121.8,6.1,127.9,RUN
2026-08-26T12:53:52.207,19157,-41,1,38.197,20.0,4.0,2.094,18.197,107.4,12.5,119.9,RUN,38.197,35.0,4.0,3.665,3.197,121.8,3.7,125.6,RUN
2026-08-26T12:53:52.301,19257,-41,1,38.197,21.667,4.0,2.269,16.531,107.4,12.0,119.4,RUN,38.197,36.667,4.0,3.84,1.531,121.8,3.0,124.8,RUN
2026-08-26T12:53:52.398,19357,-42,1,38.197,23.333,4.0,2.443,14.864,107.4,11.5,118.9,RUN,38.197,36.667,4.0,3.84,1.531,121.8,3.0,124.8,RUN
2026-08-26T12:53:52.498,19457,-45,1,38.197,25.0,4.0,2.618,13.197,107.4,11.0,118.4,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,2.2,124.0,RUN
2026-08-26T12:53:52.609,19557,-50,1,38.197,25.0,4.0,2.618,13.197,107.4,11.2,118.6,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,1.4,123.2,RUN
2026-08-26T12:53:52.726,19657,-51,1,38.197,26.667,4.0,2.793,11.531,107.4,10.7,118.0,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,2.2,124.0,RUN
2026-08-26T12:53:52.801,19757,-51,1,38.197,28.333,4.0,2.967,9.864,107.4,10.1,117.4,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.5,122.3,RUN
2026-08-26T12:53:52.898,19857,-49,1,38.197,30.0,4.0,3.142,8.197,107.4,9.4,116.8,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,1.3,123.1,RUN
2026-08-26T12:53:52.998,19957,-43,1,38.197,30.0,4.0,3.142,8.197,107.4,9.6,117.0,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,1.2,123.0,RUN
2026-08-26T12:53:53.099,20057,-42,1,38.197,31.667,4.0,3.316,6.531,107.4,8.9,116.3,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,1.2,123.0,RUN
2026-08-26T12:53:53.200,20157,-41,1,38.197,31.667,4.0,3.316,6.531,107.4,9.1,116.4,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.3,122.1,RUN
2026-08-26T12:53:53.300,20257,-40,1,38.197,31.667,4.0,3.316,6.531,107.4,9.2,116.6,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.3,122.1,RUN
2026-08-26T12:53:53.401,20357,-39,1,38.197,31.667,4.0,3.316,6.531,107.4,9.3,116.7,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.2,122.0,RUN
2026-08-26T12:53:53.504,20457,-41,1,38.197,33.333,4.0,3.491,4.864,107.4,8.6,116.0,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.9,122.8,RUN
2026-08-26T12:53:53.601,20557,-42,1,38.197,33.333,4.0,3.491,4.864,107.4,8.7,116.1,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.1,121.9,RUN
2026-08-26T12:53:53.698,20657,-38,1,38.197,35.0,4.0,3.665,3.197,107.4,8.0,115.4,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,0.0,121.8,RUN
2026-08-26T12:53:53.803,20757,-43,1,38.197,35.0,4.0,3.665,3.197,107.4,8.0,115.4,RUN,38.197,43.333,4.0,4.538,-5.136,121.8,-0.9,120.9,RUN
2026-08-26T12:53:53.904,20857,-46,1,38.197,36.667,4.0,3.84,1.531,107.4,7.3,114.6,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.2,121.6,RUN
2026-08-26T12:53:53.999,20957,-44,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.5,113.8,RUN,38.197,43.333,4.0,4.538,-5.136,121.8,-1.1,120.7,RUN
2026-08-26T12:53:54.098,21057,-42,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.5,113.8,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.3,121.5,RUN
2026-08-26T12:53:54.199,21157,-40,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.5,113.8,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.4,122.2,RUN
2026-08-26T12:53:54.305,21257,-41,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.5,113.8,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.4,122.2,RUN
2026-08-26T12:53:54.401,21357,-42,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.6,113.0,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.5,121.3,RUN
2026-08-26T12:53:54.500,21457,-43,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.4,113.8,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.3,122.1,RUN
2026-08-26T12:53:54.606,21557,-43,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.6,113.0,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.6,121.2,RUN
2026-08-26T12:53:54.701,21657,-46,1,38.197,41.667,4.0,4.363,-3.469,107.4,4.7,112.1,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.7,121.2,RUN
2026-08-26T12:53:54.798,21757,-47,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.3,113.7,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.1,121.9,RUN
2026-08-26T12:53:54.898,21857,-46,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.5,112.9,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.1,121.9,RUN
2026-08-26T12:53:55.000,21957,-44,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.3,113.7,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.0,121.8,RUN
2026-08-26T12:53:55.108,22057,-39,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.3,113.7,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,0.0,121.8,RUN
2026-08-26T12:53:55.200,22157,-43,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.4,112.8,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-0.9,120.9,RUN
2026-08-26T12:53:55.307,22257,-38,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.4,112.8,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.1,121.7,RUN
2026-08-26T12:53:55.399,22357,-36,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.4,112.7,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.1,121.7,RUN
2026-08-26T12:53:55.504,22457,-41,1,38.197,41.667,4.0,4.363,-3.469,107.4,4.5,111.9,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-1.0,120.8,RUN
2026-08-26T12:53:55.605,22557,-45,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.3,112.6,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.4,123.2,RUN
2026-08-26T12:53:55.706,22657,-47,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.1,113.4,RUN,38.197,41.667,4.0,4.363,-3.469,121.8,-1.0,120.8,RUN
2026-08-26T12:53:55.798,22757,-44,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.2,112.6,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.3,121.5,RUN
2026-08-26T12:53:55.901,22857,-45,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.2,112.6,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,0.5,122.3,RUN
2026-08-26T12:53:55.998,22957,-43,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.1,112.5,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,0.5,122.3,RUN
2026-08-26T12:53:56.100,23057,-44,1,38.197,38.333,4.0,4.014,-0.136,107.4,5.9,113.3,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.3,121.5,RUN
2026-08-26T12:53:56.201,23157,-41,1,38.197,40.0,4.0,4.189,-1.803,107.4,5.1,112.5,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,0.5,122.3,RUN
2026-08-26T12:53:56.307,23257,-42,1,38.197,38.333,4.0,4.014,-0.136,107.4,5.9,113.3,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.4,121.4,RUN
2026-08-26T12:53:56.399,23357,-37,1,38.197,38.333,4.0,4.014,-0.136,107.4,5.9,113.3,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.1,123.9,RUN
2026-08-26T12:53:56.508,23457,-37,1,38.197,36.667,4.0,3.84,1.531,107.4,6.7,114.1,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.3,123.1,RUN
2026-08-26T12:53:56.600,23557,-41,1,38.197,35.0,4.0,3.665,3.197,107.4,7.6,115.0,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.2,124.0,RUN
2026-08-26T12:53:56.702,23657,-41,1,38.197,36.667,4.0,3.84,1.531,107.4,6.8,114.2,RUN,38.197,40.0,4.0,4.189,-1.803,121.8,-0.2,121.6,RUN
2026-08-26T12:53:56.799,23757,-42,1,38.197,35.0,4.0,3.665,3.197,107.4,7.7,115.1,RUN,38.197,33.333,4.0,3.491,4.864,121.8,3.1,124.9,RUN
2026-08-26T12:53:56.899,23857,-43,1,38.197,36.667,4.0,3.84,1.531,107.4,6.9,114.3,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.5,123.3,RUN
2026-08-26T12:53:57.000,23957,-46,1,38.197,36.667,4.0,3.84,1.531,107.4,7.0,114.3,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.4,124.2,RUN
2026-08-26T12:53:57.104,24057,-45,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.1,113.5,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,0.7,122.6,RUN
2026-08-26T12:53:57.199,24157,-43,1,38.197,35.0,4.0,3.665,3.197,107.4,7.8,115.2,RUN,38.197,33.333,4.0,3.491,4.864,121.8,3.2,125.1,RUN
2026-08-26T12:53:57.298,24257,-40,1,38.197,36.667,4.0,3.84,1.531,107.4,7.0,114.4,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.7,123.5,RUN
2026-08-26T12:53:57.399,24357,-42,1,38.197,35.0,4.0,3.665,3.197,107.4,7.9,115.3,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.7,123.5,RUN
2026-08-26T12:53:57.501,24457,-45,1,38.197,36.667,4.0,3.84,1.531,107.4,7.1,114.5,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.6,124.4,RUN
2026-08-26T12:53:57.598,24557,-49,1,38.197,36.667,4.0,3.84,1.531,107.4,7.2,114.5,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.6,124.4,RUN
2026-08-26T12:53:57.703,24657,-53,1,38.197,36.667,4.0,3.84,1.531,107.4,7.2,114.6,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.9,123.7,RUN
2026-08-26T12:53:57.804,24757,-46,1,38.197,33.333,4.0,3.491,4.864,107.4,8.9,116.3,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.9,123.7,RUN
2026-08-26T12:53:57.906,24857,-43,1,38.197,35.0,4.0,3.665,3.197,107.4,8.2,115.5,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.9,123.7,RUN
2026-08-26T12:53:57.998,24957,-44,1,38.197,36.667,4.0,3.84,1.531,107.4,7.4,114.8,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,1.1,122.9,RUN
2026-08-26T12:53:58.098,25057,-47,1,38.197,36.667,4.0,3.84,1.531,107.4,7.4,114.8,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.8,124.6,RUN
2026-08-26T12:53:58.201,25157,-46,1,38.197,33.333,4.0,3.491,4.864,107.4,9.1,116.5,RUN,38.197,35.0,4.0,3.665,3.197,121.8,2.9,124.7,RUN
2026-08-26T12:53:58.298,25257,-43,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.7,114.1,RUN,38.197,36.667,4.0,3.84,1.531,121.8,2.1,123.9,RUN
2026-08-26T12:53:58.402,25357,-49,1,38.197,36.667,4.0,3.84,1.531,107.4,7.5,114.9,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,1.3,123.1,RUN
2026-08-26T12:53:58.498,25457,-50,1,38.197,38.333,4.0,4.014,-0.136,107.4,6.7,114.1,RUN,38.197,38.333,4.0,4.014,-0.136,121.8,1.3,123.1,RUN
2026-08-26T12:53:58.603,25557,-50,1,38.197,1.667,4.0,0.175,36.531,107.4,25.1,132.5,RUN,38.197,46.667,4.0,4.887,-8.469,121.8,-2.9,118.9,RUN
2026-08-26T12:53:58.706,25657,-50,1,38.197,1.667,4.0,0.175,36.531,107.4,25.8,133.2,RUN,38.197,36.667,4.0,3.84,1.531,121.8,1.9,123.7,RUN
2026-08-26T12:53:58.800,25757,-49,1,38.197,0.0,4.0,0.0,38.197,107.4,27.4,134.7,RUN,38.197,20.0,4.0,2.094,18.197,121.8,10.3,132.1,RUN
2026-08-26T12:53:58.900,25857,-49,1,38.197,6.667,4.0,0.698,31.531,107.4,24.8,132.2,RUN,38.197,8.333,4.0,0.873,29.864,121.8,16.5,138.3,RUN
2026-08-26T12:53:58.998,25957,-48,1,38.197,5.0,4.0,0.524,33.197,107.4,26.3,133.6,RUN,38.197,15.0,4.0,1.571,23.197,121.8,13.8,135.6,RUN
2026-08-26T12:53:59.098,26057,-48,1,38.197,1.667,4.0,0.175,36.531,107.4,28.6,136.0,RUN,38.197,20.0,4.0,2.094,18.197,121.8,11.7,133.5,RUN
2026-08-26T12:53:59.205,26157,-47,1,38.197,8.333,4.0,0.873,29.864,107.4,26.0,133.4,RUN,38.197,21.667,4.0,2.269,16.531,121.8,11.3,133.1,RUN
2026-08-26T12:53:59.304,26257,-47,1,38.197,8.333,4.0,0.873,29.864,107.4,26.6,134.0,RUN,38.197,18.333,4.0,1.92,19.864,121.8,13.3,135.1,RUN
2026-08-26T12:53:59.401,26357,-49,1,38.197,6.667,4.0,0.698,31.531,107.4,28.0,135.4,RUN,38.197,21.667,4.0,2.269,16.531,121.8,12.0,133.8,RUN
