host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-25T14:39:21.912,40820,-49,1,19.099,0.0,2.0,0.0,19.099,0.0,0.0,0.0,START,19.099,0.0,2.0,0.0,19.099,0.0,0.0,0.0,START
2026-08-25T14:39:21.913,40920,-51,1,19.099,0.0,2.0,0.0,19.099,143.8,0.0,155.0,START,19.099,0.0,2.0,0.0,19.099,143.8,0.0,155.0,START
2026-08-25T14:39:21.914,41020,-51,1,19.099,6.667,2.0,0.698,12.432,143.8,0.0,155.0,START,19.099,6.667,2.0,0.698,12.432,143.8,0.0,155.0,START
2026-08-25T14:39:22.009,41120,-52,1,19.099,8.251,2.0,0.864,10.848,143.8,5.4,149.2,RUN,19.099,9.901,2.0,1.037,9.198,143.8,4.6,148.4,RUN
2026-08-25T14:39:22.119,41220,-51,1,19.099,8.333,2.0,0.873,10.765,143.8,5.6,149.4,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-1.9,141.8,RUN
2026-08-25T14:39:22.213,41320,-55,1,19.099,15.0,2.0,1.571,4.099,143.8,2.5,146.2,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-2.9,140.9,RUN
2026-08-25T14:39:22.304,41420,-52,1,19.099,20.0,2.0,2.094,-0.901,143.8,0.1,143.8,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-6.3,137.5,RUN
2026-08-25T14:39:22.403,41520,-50,1,19.099,23.333,2.0,2.443,-4.235,143.8,-1.6,142.1,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-9.9,133.9,RUN
2026-08-25T14:39:22.507,41620,-48,1,19.099,25.0,2.0,2.618,-5.901,143.8,-2.5,141.2,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-10.3,133.5,RUN
2026-08-25T14:39:22.603,41720,-45,1,19.099,33.333,2.0,3.491,-14.235,143.8,-6.8,136.9,RUN,19.099,41.667,2.0,4.363,-22.568,143.8,-12.3,131.4,RUN
2026-08-25T14:39:22.704,41820,-38,1,19.099,31.667,2.0,3.316,-12.568,143.8,-6.3,137.5,RUN,19.099,43.333,2.0,4.538,-24.235,143.8,-13.6,130.2,RUN
2026-08-25T14:39:22.805,41920,-36,1,19.099,35.0,2.0,3.665,-15.901,143.8,-8.2,135.6,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-16.6,127.2,RUN
2026-08-25T14:39:22.907,42020,-39,1,19.099,36.667,2.0,3.84,-17.568,143.8,-9.3,134.4,RUN,19.099,50.0,2.0,5.236,-30.901,143.8,-18.0,125.8,RUN
2026-08-25T14:39:23.011,42120,-41,1,19.099,38.333,2.0,4.014,-19.235,143.8,-10.5,133.2,RUN,19.099,51.667,2.0,5.411,-32.568,143.8,-19.5,124.3,RUN
2026-08-25T14:39:23.103,42220,-48,1,19.099,43.333,2.0,4.538,-24.235,143.8,-13.4,130.3,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-18.4,125.3,RUN
2026-08-25T14:39:23.202,42320,-50,1,19.099,46.667,2.0,4.887,-27.568,143.8,-15.6,128.2,RUN,19.099,50.0,2.0,5.236,-30.901,143.8,-19.9,123.9,RUN
2026-08-25T14:39:23.305,42420,-56,1,19.099,45.0,2.0,4.712,-25.901,143.8,-15.3,128.5,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-19.6,124.1,RUN
2026-08-25T14:39:23.412,42520,-50,1,19.099,46.667,2.0,4.887,-27.568,143.8,-16.6,127.1,RUN,19.099,51.667,2.0,5.411,-32.568,143.8,-21.9,121.9,RUN
2026-08-25T14:39:23.501,42620,-51,1,19.099,48.333,2.0,5.061,-29.235,143.8,-18.0,125.7,RUN,19.099,50.0,2.0,5.236,-30.901,143.8,-21.7,122.0,RUN
2026-08-25T14:39:23.601,42720,-49,1,19.099,48.333,2.0,5.061,-29.235,143.8,-18.6,125.2,RUN,19.099,50.0,2.0,5.236,-30.901,143.8,-22.3,121.4,RUN
2026-08-25T14:39:23.703,42820,-48,1,19.099,48.333,2.0,5.061,-29.235,143.8,-19.2,124.6,RUN,19.099,51.667,2.0,5.411,-32.568,143.8,-23.8,120.0,RUN
2026-08-25T14:39:23.803,42920,-50,1,19.099,46.667,2.0,4.887,-27.568,143.8,-18.9,124.8,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-22.8,121.0,RUN
2026-08-25T14:39:23.904,43020,-46,1,19.099,50.0,2.0,5.236,-30.901,143.8,-21.2,122.6,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-23.4,120.4,RUN
2026-08-25T14:39:24.006,43120,-46,1,19.099,50.0,2.0,5.236,-30.901,143.8,-21.8,122.0,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-23.9,119.8,RUN
2026-08-25T14:39:24.101,43220,-45,1,19.099,48.333,2.0,5.061,-29.235,143.8,-21.6,122.2,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-24.5,119.2,RUN
2026-08-25T14:39:24.206,43320,-51,1,19.099,48.333,2.0,5.061,-29.235,143.8,-22.1,121.6,RUN,19.099,46.667,2.0,4.887,-27.568,143.8,-24.3,119.5,RUN
2026-08-25T14:39:24.304,43420,-54,1,19.099,50.0,2.0,5.236,-30.901,143.8,-23.6,120.2,RUN,19.099,46.667,2.0,4.887,-27.568,143.8,-24.8,118.9,RUN
2026-08-25T14:39:24.403,43520,-52,1,19.099,50.0,2.0,5.236,-30.901,143.8,-24.2,119.6,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-26.2,117.5,RUN
2026-08-25T14:39:24.503,43620,-45,1,19.099,48.333,2.0,5.061,-29.235,143.8,-24.0,119.8,RUN,19.099,45.0,2.0,4.712,-25.901,143.8,-25.1,118.6,RUN
2026-08-25T14:39:24.602,43720,-44,1,19.099,50.0,2.0,5.236,-30.901,143.8,-25.4,118.4,RUN,19.099,48.333,2.0,5.061,-29.235,143.8,-27.3,116.4,RUN
2026-08-25T14:39:24.701,43820,-50,1,19.099,50.0,2.0,5.236,-30.901,143.8,-26.0,117.8,RUN,19.099,46.667,2.0,4.887,-27.568,143.8,-27.1,116.7,RUN
2026-08-25T14:39:24.802,43920,-54,1,19.099,48.333,2.0,5.061,-29.235,143.8,-25.8,118.0,RUN,19.099,43.333,2.0,4.538,-24.235,143.8,-26.0,117.8,RUN
2026-08-25T14:39:24.909,44020,-50,1,19.099,48.333,2.0,5.061,-29.235,143.8,-26.4,117.4,RUN,19.099,43.333,2.0,4.538,-24.235,143.8,-26.4,117.3,RUN
2026-08-25T14:39:25.002,44120,-49,1,19.099,46.667,2.0,4.887,-27.568,143.8,-26.1,117.6,RUN,19.099,43.333,2.0,4.538,-24.235,143.8,-26.9,116.8,RUN
2026-08-25T14:39:25.103,44220,-48,1,19.099,46.667,2.0,4.887,-27.568,143.8,-26.7,117.1,RUN,19.099,43.333,2.0,4.538,-24.235,143.8,-27.4,116.4,RUN
2026-08-25T14:39:25.202,44320,-45,1,19.099,46.667,2.0,4.887,-27.568,143.8,-27.2,116.5,RUN,19.099,41.667,2.0,4.363,-22.568,143.8,-27.1,116.7,RUN
2026-08-25T14:39:25.306,44420,-42,1,19.099,43.333,2.0,4.538,-24.235,143.8,-26.1,117.7,RUN,19.099,40.0,2.0,4.189,-20.901,143.8,-26.7,117.1,RUN
2026-08-25T14:39:25.402,44520,-37,1,19.099,46.667,2.0,4.887,-27.568,143.8,-28.3,115.5,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-26.3,117.5,RUN
2026-08-25T14:39:25.501,44620,-35,1,19.099,43.333,2.0,4.538,-24.235,143.8,-27.1,116.6,RUN,19.099,41.667,2.0,4.363,-22.568,143.8,-28.3,115.4,RUN
2026-08-25T14:39:25.601,44720,-36,1,19.099,45.0,2.0,4.712,-25.901,143.8,-28.5,115.3,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-27.1,116.7,RUN
2026-08-25T14:39:25.701,44820,-41,1,19.099,45.0,2.0,4.712,-25.901,143.8,-29.0,114.8,RUN,19.099,41.667,2.0,4.363,-22.568,143.8,-29.1,114.6,RUN
2026-08-25T14:39:25.801,44920,-43,1,19.099,45.0,2.0,4.712,-25.901,143.8,-29.5,114.3,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-27.9,115.8,RUN
2026-08-25T14:39:25.901,45020,-44,1,19.099,45.0,2.0,4.712,-25.901,143.8,-30.0,113.7,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-28.3,115.4,RUN
2026-08-25T14:39:26.001,45120,-45,1,19.099,43.333,2.0,4.538,-24.235,143.8,-29.7,114.1,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-28.7,115.1,RUN
2026-08-25T14:39:26.101,45220,-49,1,19.099,43.333,2.0,4.538,-24.235,143.8,-30.2,113.6,RUN,19.099,40.0,2.0,4.189,-20.901,143.8,-29.9,113.8,RUN
2026-08-25T14:39:26.201,45320,-49,1,19.099,43.333,2.0,4.538,-24.235,143.8,-30.7,113.1,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-29.5,114.3,RUN
2026-08-25T14:39:26.307,45420,-48,1,19.099,43.333,2.0,4.538,-24.235,143.8,-31.2,112.6,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-29.9,113.9,RUN
2026-08-25T14:39:26.403,45520,-48,1,19.099,41.667,2.0,4.363,-22.568,143.8,-30.8,113.0,RUN,19.099,38.333,2.0,4.014,-19.235,143.8,-30.3,113.5,RUN
2026-08-25T14:39:26.501,45620,-43,1,19.099,40.0,2.0,4.189,-20.901,143.8,-30.4,113.3,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-29.0,114.8,RUN
2026-08-25T14:39:26.606,45720,-40,1,19.099,40.0,2.0,4.189,-20.901,143.8,-30.8,112.9,RUN,19.099,36.667,2.0,3.84,-17.568,143.8,-30.1,113.6,RUN
2026-08-25T14:39:26.702,45820,-37,1,19.099,41.667,2.0,4.363,-22.568,143.8,-32.1,111.7,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-29.7,114.1,RUN
2026-08-25T14:39:26.801,45920,-36,1,19.099,40.0,2.0,4.189,-20.901,143.8,-31.7,112.0,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-30.0,113.8,RUN
2026-08-25T14:39:26.904,46020,-37,1,19.099,38.333,2.0,4.014,-19.235,143.8,-31.3,112.5,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-30.3,113.5,RUN
2026-08-25T14:39:27.005,46120,-37,1,19.099,40.0,2.0,4.189,-20.901,143.8,-32.5,111.2,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-30.6,113.1,RUN
2026-08-25T14:39:27.109,46220,-37,1,19.099,40.0,2.0,4.189,-20.901,143.8,-32.9,110.8,RUN,19.099,33.333,2.0,3.491,-14.235,143.8,-30.1,113.7,RUN
2026-08-25T14:39:27.207,46320,-36,1,19.099,40.0,2.0,4.189,-20.901,143.8,-33.4,110.4,RUN,19.099,33.333,2.0,3.491,-14.235,143.8,-30.4,113.4,RUN
2026-08-25T14:39:27.311,46420,-40,1,19.099,40.0,2.0,4.189,-20.901,143.8,-33.8,110.0,RUN,19.099,33.333,2.0,3.491,-14.235,143.8,-30.7,113.1,RUN
2026-08-25T14:39:27.413,46520,-42,1,19.099,43.333,2.0,4.538,-24.235,143.8,-35.9,107.9,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-30.1,113.6,RUN
2026-08-25T14:39:27.513,46620,-38,1,19.099,41.667,2.0,4.363,-22.568,143.8,-35.5,108.3,RUN,19.099,35.0,2.0,3.665,-15.901,143.8,-32.0,111.7,RUN
2026-08-25T14:39:27.602,46720,-38,1,19.099,40.0,2.0,4.189,-20.901,143.8,-35.1,108.6,RUN,19.099,33.333,2.0,3.491,-14.235,143.8,-31.5,112.2,RUN
2026-08-25T14:39:27.704,46820,-38,1,19.099,38.333,2.0,4.014,-19.235,143.8,-34.7,109.1,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-31.0,112.8,RUN
2026-08-25T14:39:27.802,46920,-35,1,19.099,38.333,2.0,4.014,-19.235,143.8,-35.1,108.7,RUN,19.099,33.333,2.0,3.491,-14.235,143.8,-32.1,111.7,RUN
2026-08-25T14:39:27.903,47020,-36,1,19.099,38.333,2.0,4.014,-19.235,143.8,-35.5,108.3,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-31.5,112.2,RUN
2026-08-25T14:39:28.002,47120,-38,1,19.099,36.667,2.0,3.84,-17.568,143.8,-35.0,108.7,RUN,19.099,30.0,2.0,3.142,-10.901,143.8,-30.9,112.8,RUN
2026-08-25T14:39:28.103,47220,-36,1,19.099,36.667,2.0,3.84,-17.568,143.8,-35.4,108.4,RUN,19.099,30.0,2.0,3.142,-10.901,143.8,-31.1,112.6,RUN
2026-08-25T14:39:28.203,47320,-36,1,19.099,35.0,2.0,3.665,-15.901,143.8,-34.9,108.9,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-32.2,111.6,RUN
2026-08-25T14:39:28.302,47420,-40,1,19.099,35.0,2.0,3.665,-15.901,143.8,-35.2,108.5,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-30.0,113.8,RUN
2026-08-25T14:39:28.401,47520,-39,1,19.099,35.0,2.0,3.665,-15.901,143.8,-35.5,108.2,RUN,19.099,31.667,2.0,3.316,-12.568,143.8,-32.6,111.2,RUN
2026-08-25T14:39:28.502,47620,-43,1,19.099,33.333,2.0,3.491,-14.235,143.8,-35.0,108.7,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-31.2,112.6,RUN
2026-08-25T14:39:28.601,47720,-45,1,19.099,36.667,2.0,3.84,-17.568,143.8,-37.0,106.8,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-29.7,114.1,RUN
2026-08-25T14:39:28.702,47820,-50,1,19.099,33.333,2.0,3.491,-14.235,143.8,-35.7,108.1,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-31.5,112.3,RUN
2026-08-25T14:39:28.803,47920,-55,1,19.099,35.0,2.0,3.665,-15.901,143.8,-36.8,107.0,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-31.7,112.1,RUN
2026-08-25T14:39:28.905,48020,-52,1,19.099,33.333,2.0,3.491,-14.235,143.8,-36.3,107.5,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-31.0,112.7,RUN
2026-08-25T14:39:29.002,48120,-50,1,19.099,31.667,2.0,3.316,-12.568,143.8,-35.7,108.1,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-32.0,111.8,RUN
2026-08-25T14:39:29.102,48220,-55,1,19.099,35.0,2.0,3.665,-15.901,143.8,-37.6,106.1,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-32.2,111.6,RUN
2026-08-25T14:39:29.201,48320,-55,1,19.099,31.667,2.0,3.316,-12.568,143.8,-36.3,107.5,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-31.5,112.2,RUN
2026-08-25T14:39:29.303,48420,-48,1,19.099,31.667,2.0,3.316,-12.568,143.8,-36.5,107.2,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-32.5,111.2,RUN
2026-08-25T14:39:29.407,48520,-44,1,19.099,26.667,2.0,2.793,-7.568,143.8,-34.3,109.5,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.2,113.5,RUN
2026-08-25T14:39:29.501,48620,-41,1,19.099,28.333,2.0,2.967,-9.235,143.8,-35.3,108.5,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.3,113.5,RUN
2026-08-25T14:39:29.601,48720,-37,1,19.099,30.0,2.0,3.142,-10.901,143.8,-36.3,107.5,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-31.2,112.5,RUN
2026-08-25T14:39:29.701,48820,-37,1,19.099,28.333,2.0,2.967,-9.235,143.8,-35.7,108.1,RUN,19.099,21.667,2.0,2.269,-2.568,143.8,-29.7,114.1,RUN
2026-08-25T14:39:29.801,48920,-38,1,19.099,26.667,2.0,2.793,-7.568,143.8,-35.0,108.7,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.6,113.2,RUN
2026-08-25T14:39:29.905,49020,-40,1,19.099,26.667,2.0,2.793,-7.568,143.8,-35.2,108.6,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.6,113.1,RUN
2026-08-25T14:39:30.007,49120,-37,1,19.099,30.0,2.0,3.142,-10.901,143.8,-37.0,106.8,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.7,113.0,RUN
2026-08-25T14:39:30.103,49220,-36,1,19.099,28.333,2.0,2.967,-9.235,143.8,-36.4,107.4,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-30.8,113.0,RUN
2026-08-25T14:39:30.202,49320,-36,1,19.099,30.0,2.0,3.142,-10.901,143.8,-37.4,106.4,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-32.6,111.2,RUN
2026-08-25T14:39:30.302,49420,-41,1,19.099,30.0,2.0,3.142,-10.901,143.8,-37.6,106.2,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-31.0,112.7,RUN
2026-08-25T14:39:30.404,49520,-41,1,19.099,30.0,2.0,3.142,-10.901,143.8,-37.8,105.9,RUN,19.099,21.667,2.0,2.269,-2.568,143.8,-30.3,113.5,RUN
2026-08-25T14:39:30.504,49620,-45,1,19.099,30.0,2.0,3.142,-10.901,143.8,-38.0,105.7,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-32.8,110.9,RUN
2026-08-25T14:39:30.606,49720,-48,1,19.099,30.0,2.0,3.142,-10.901,143.8,-38.3,105.5,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-31.3,112.4,RUN
2026-08-25T14:39:30.701,49820,-49,1,19.099,31.667,2.0,3.316,-12.568,143.8,-39.3,104.4,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-31.4,112.3,RUN
2026-08-25T14:39:30.803,49920,-46,1,19.099,33.333,2.0,3.491,-14.235,143.8,-40.4,103.4,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-34.0,109.8,RUN
2026-08-25T14:39:30.901,50020,-44,1,19.099,31.667,2.0,3.316,-12.568,143.8,-39.9,103.9,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-32.5,111.2,RUN
2026-08-25T14:39:31.005,50120,-43,1,19.099,33.333,2.0,3.491,-14.235,143.8,-40.9,102.8,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-32.6,111.1,RUN
2026-08-25T14:39:31.101,50220,-39,1,19.099,30.0,2.0,3.142,-10.901,143.8,-39.6,104.2,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-33.6,110.2,RUN
2026-08-25T14:39:31.202,50320,-41,1,19.099,31.667,2.0,3.316,-12.568,143.8,-40.6,103.2,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-32.1,111.7,RUN
2026-08-25T14:39:31.304,50420,-43,1,19.099,30.0,2.0,3.142,-10.901,143.8,-40.0,103.7,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-32.2,111.6,RUN
2026-08-25T14:39:31.408,50520,-43,1,19.099,30.0,2.0,3.142,-10.901,143.8,-40.2,103.5,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-33.9,109.9,RUN
2026-08-25T14:39:31.513,50620,-45,1,19.099,33.333,2.0,3.491,-14.235,143.8,-42.1,101.6,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-34.1,109.7,RUN
2026-08-25T14:39:31.611,50720,-46,1,19.099,28.333,2.0,2.967,-9.235,143.8,-39.9,103.8,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-32.5,111.2,RUN
2026-08-25T14:39:31.704,50820,-44,1,19.099,31.667,2.0,3.316,-12.568,143.8,-41.8,102.0,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-34.3,109.5,RUN
2026-08-25T14:39:31.807,50920,-44,1,19.099,30.0,2.0,3.142,-10.901,143.8,-41.2,102.6,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-33.6,110.1,RUN
2026-08-25T14:39:31.901,51020,-42,1,19.099,30.0,2.0,3.142,-10.901,143.8,-41.4,102.4,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-33.7,110.0,RUN
2026-08-25T14:39:32.001,51120,-44,1,19.099,28.333,2.0,2.967,-9.235,143.8,-40.8,103.0,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-34.7,109.1,RUN
2026-08-25T14:39:32.103,51220,-42,1,19.099,28.333,2.0,2.967,-9.235,143.8,-41.0,102.8,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-33.2,110.6,RUN
2026-08-25T14:39:32.202,51320,-46,1,19.099,31.667,2.0,3.316,-12.568,143.8,-42.8,100.9,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-34.1,109.7,RUN
2026-08-25T14:39:32.301,51420,-46,1,19.099,28.333,2.0,2.967,-9.235,143.8,-41.4,102.4,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-35.0,108.7,RUN
2026-08-25T14:39:32.401,51520,-46,1,19.099,28.333,2.0,2.967,-9.235,143.8,-41.6,102.2,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-35.2,108.6,RUN
2026-08-25T14:39:32.503,51620,-45,1,19.099,26.667,2.0,2.793,-7.568,143.8,-40.9,102.8,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-35.3,108.4,RUN
2026-08-25T14:39:32.602,51720,-48,1,19.099,26.667,2.0,2.793,-7.568,143.8,-41.1,102.7,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-36.3,107.4,RUN
2026-08-25T14:39:32.704,51820,-47,1,19.099,28.333,2.0,2.967,-9.235,143.8,-42.1,101.7,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-34.0,109.8,RUN
2026-08-25T14:39:32.802,51920,-45,1,19.099,26.667,2.0,2.793,-7.568,143.8,-41.4,102.3,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-34.9,108.8,RUN
2026-08-25T14:39:32.905,52020,-44,1,19.099,28.333,2.0,2.967,-9.235,143.8,-42.4,101.3,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-35.9,107.9,RUN
2026-08-25T14:39:33.001,52120,-45,1,19.099,28.333,2.0,2.967,-9.235,143.8,-42.6,101.2,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-34.4,109.4,RUN
2026-08-25T14:39:33.102,52220,-48,1,19.099,26.667,2.0,2.793,-7.568,143.8,-42.0,101.8,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-35.3,108.5,RUN
2026-08-25T14:39:33.201,52320,-51,1,19.099,28.333,2.0,2.967,-9.235,143.8,-42.9,100.8,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-35.4,108.4,RUN
2026-08-25T14:39:33.301,52420,-52,1,19.099,26.667,2.0,2.793,-7.568,143.8,-42.3,101.5,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-34.7,109.1,RUN
2026-08-25T14:39:33.406,52520,-54,1,19.099,28.333,2.0,2.967,-9.235,143.8,-43.3,100.5,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-35.6,108.2,RUN
2026-08-25T14:39:33.501,52620,-58,1,19.099,26.667,2.0,2.793,-7.568,143.8,-42.6,101.1,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-37.4,106.4,RUN
2026-08-25T14:39:33.609,52720,-59,1,19.099,30.0,2.0,3.142,-10.901,143.8,-44.4,99.3,RUN,19.099,23.333,2.0,2.443,-4.235,143.8,-35.1,108.7,RUN
2026-08-25T14:39:33.706,52820,-55,1,19.099,26.667,2.0,2.793,-7.568,143.8,-43.0,100.8,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-36.8,106.9,RUN
2026-08-25T14:39:33.802,52920,-53,1,19.099,30.0,2.0,3.142,-10.901,143.8,-44.8,99.0,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-37.0,106.8,RUN
2026-08-25T14:39:33.904,53020,-54,1,19.099,28.333,2.0,2.967,-9.235,143.8,-44.2,99.6,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-36.3,107.5,RUN
2026-08-25T14:39:34.001,53120,-57,1,19.099,28.333,2.0,2.967,-9.235,143.8,-44.4,99.4,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-36.4,107.3,RUN
2026-08-25T14:39:34.101,53220,-56,1,19.099,28.333,2.0,2.967,-9.235,143.8,-44.6,99.2,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-37.4,106.4,RUN
2026-08-25T14:39:34.201,53320,-55,1,19.099,26.667,2.0,2.793,-7.568,143.8,-43.9,99.8,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-36.7,107.1,RUN
2026-08-25T14:39:34.301,53420,-54,1,19.099,26.667,2.0,2.793,-7.568,143.8,-44.1,99.7,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-37.6,106.1,RUN
2026-08-25T14:39:34.402,53520,-55,1,19.099,30.0,2.0,3.142,-10.901,143.8,-45.9,97.9,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-37.8,106.0,RUN
2026-08-25T14:39:34.507,53620,-53,1,19.099,26.667,2.0,2.793,-7.568,143.8,-44.4,99.3,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-37.9,105.8,RUN
2026-08-25T14:39:34.612,53720,-53,1,19.099,30.0,2.0,3.142,-10.901,143.8,-46.3,97.5,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-38.1,105.7,RUN
2026-08-25T14:39:34.705,53820,-53,1,19.099,28.333,2.0,2.967,-9.235,143.8,-45.6,98.1,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-38.2,105.5,RUN
2026-08-25T14:39:34.803,53920,-55,1,19.099,28.333,2.0,2.967,-9.235,143.8,-45.8,97.9,RUN,19.099,28.333,2.0,2.967,-9.235,143.8,-39.2,104.5,RUN
2026-08-25T14:39:34.908,54020,-52,1,19.099,28.333,2.0,2.967,-9.235,143.8,-46.0,97.8,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-38.6,105.2,RUN
2026-08-25T14:39:35.001,54120,-50,1,19.099,28.333,2.0,2.967,-9.235,143.8,-46.2,97.6,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-38.7,105.0,RUN
2026-08-25T14:39:35.103,54220,-49,1,19.099,26.667,2.0,2.793,-7.568,143.8,-45.5,98.2,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-38.9,104.9,RUN
2026-08-25T14:39:35.201,54320,-48,1,19.099,26.667,2.0,2.793,-7.568,143.8,-45.7,98.1,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-39.0,104.7,RUN
2026-08-25T14:39:35.302,54420,-48,1,19.099,26.667,2.0,2.793,-7.568,143.8,-45.8,97.9,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-38.3,105.4,RUN
2026-08-25T14:39:35.404,54520,-49,1,19.099,26.667,2.0,2.793,-7.568,143.8,-46.0,97.8,RUN,19.099,26.667,2.0,2.793,-7.568,143.8,-39.3,104.5,RUN
2026-08-25T14:39:35.508,54620,-48,1,19.099,26.667,2.0,2.793,-7.568,143.8,-46.1,97.6,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-38.6,105.1,RUN
2026-08-25T14:39:35.607,54720,-52,1,19.099,25.0,2.0,2.618,-5.901,143.8,-45.5,98.3,RUN,19.099,25.0,2.0,2.618,-5.901,143.8,-38.7,105.0,RUN
